month,PfPR,Cases,Severe_cases,New_infections,Anemia,Mean_density,Gametocyte_prevalence,Pop,agebin,Run_Number,Year
1,0.1203883495146,2.409708842635,0.0,34,25.0893214792,3.889846009977,0.01805825242718,171.6666666667,5.0,4,2023.0
2,0.1551923076923,0.0,0.0,55,60.43557652831,3.123378737856,0.1928846153846,173.3333333333,5.0,4,2023.0
3,0.3886328725038,5.396505147219,0.1401689648628,114,66.22983589768,3.27001065328,0.1409370199693,173.6,5.0,4,2023.0
4,0.5454024087173,2.023513682187,0.0,144,177.3714406937,3.660147702865,0.4484802141082,174.3666666667,5.0,4,2023.0
5,0.7317542846139,4.006354562938,0.1405738443136,59,197.5765381828,3.447248005271,0.5478528788754,173.1,5.0,4,2023.0
6,0.7256910883433,1.552290678024,0.1411173343658,40,168.9880079031,2.791288107141,0.5799342741156,172.4333333333,5.0,4,2023.0
7,0.648732339849,2.543061643839,0.1412812024355,53,107.6562762558,2.543186475169,0.396167989162,172.2333333333,5.0,4,2023.0
8,0.5540876890676,2.096496373415,0.0,91,108.3189792931,2.749032411645,0.336779628566,174.1,5.0,4,2023.0
9,0.5983867942225,4.17651464045,0.0,112,131.9367821664,3.142471525475,0.3607203151379,177.7,5.0,4,2023.0
10,0.6955794947994,3.050705641508,0.1355869174004,94,187.1099460125,3.325555882753,0.5438335809807,179.4666666667,5.0,4,2023.0
11,0.7758367046708,4.027215689421,0.1342405229807,95,181.6274275929,3.045253618828,0.5724531077602,181.2666666667,5.0,4,2023.0
12,0.7753596458871,2.962006747723,0.0,88,174.9603531212,2.988630762279,0.5606787163408,180.7333333333,5.0,4,2023.0
1,0.1241117373193,2.623539984226,0.0,176,21.42060771212,3.903809129309,0.015192354815,816.2,115.0,4,2023.0
2,0.1798184643062,0.0,0.0,610,40.24879476428,3.06363772606,0.2151034426364,815.2666666667,115.0,4,2023.0
3,0.533297902784,7.59515128471,0.0746085587889,669,91.00752001069,3.634831024139,0.223539511876,815.3666666667,115.0,4,2023.0
4,0.7273284814785,2.134066611528,0.0,545,183.9475877881,3.61388193982,0.6437157576253,815.2666666667,115.0,4,2023.0
5,0.8630014253716,2.675626203418,0.01486459001899,177,126.6165777817,3.063738653509,0.6423538994095,818.5,115.0,4,2023.0
6,0.790420380092,0.668416544795,0.0,133,66.8565081805,2.380102229512,0.5017702356245,819.1,115.0,4,2023.0
7,0.7448472505092,1.932790186256,0.0,176,36.24724980071,2.16841277131,0.2870468431772,818.3333333333,115.0,4,2023.0
8,0.6514113232175,2.218347208574,0.0,449,51.66217995808,2.335779360024,0.2710066895089,817.2,115.0,4,2023.0
9,0.7416134838815,4.479626845568,0.0,419,103.4345838642,2.960156707614,0.3801341842579,814.8,115.0,4,2023.0
10,0.796887096117,3.569245710969,0.01487185712904,432,127.4220718816,3.063855476303,0.5784541417105,818.1,115.0,4,2023.0
11,0.845164188858,3.309508161619,0.01490769442171,358,115.0128624635,2.934129173791,0.5999836628002,816.1333333333,115.0,4,2023.0
12,0.8407350065189,3.137834123336,0.01487125176936,322,99.66712935828,2.805283821851,0.5667372881356,818.1333333333,115.0,4,2023.0
1,0.1123919308357,2.103746414185,0.0,3,64.16426563263,3.833093563716,0.02305475504323,11.56666666667,0.25,3,2023.0
2,0.0959595959596,0.0,0.0,0,50.69444417953,2.958627779233,0.1388888888889,13.2,0.25,3,2023.0
3,0.06426735218509,0.9383033514023,0.0,4,44.10025751591,3.223308939934,0.01542416452442,12.96666666667,0.25,3,2023.0
4,0.1565934065934,3.008241891861,0.0,13,128.3516540527,3.641616936316,0.05769230769231,12.13333333333,0.25,3,2023.0
